Usertype,Month,Tripduration
Subscriber,Feb,693
Subscriber,Feb,679
Customer,Feb,811
Subscriber,Feb,826
Subscriber,Feb,918
Subscriber,Feb,570
Subscriber,Feb,755
Subscriber,Feb,849
Subscriber,Feb,776
Subscriber,Feb,5109
Customer,Feb,3634
Customer,Feb,79044
Subscriber,Feb,3224
Customer,Feb,795
Subscriber,Feb,215
Subscriber,Feb,729
Customer,Feb,945
Subscriber,Feb,541
Customer,Feb,1194
Subscriber,Feb,287
Subscriber,Feb,1019
Customer,Feb,1654
Subscriber,Feb,833
Subscriber,Feb,317
Subscriber,Feb,1228
Customer,Feb,443
Subscriber,Feb,759
Subscriber,Feb,120
Subscriber,Feb,715
Subscriber,Feb,2428
Subscriber,Feb,282
Customer,Feb,887
Customer,Feb,868
Subscriber,Feb,155
Subscriber,Feb,1383
Subscriber,Feb,1338
Customer,Feb,1742
Customer,Feb,1686
Subscriber,Feb,3015
Subscriber,Feb,2550
Customer,Feb,1990
Subscriber,Feb,126
Customer,Feb,583
Subscriber,Feb,328
Customer,Feb,235
Subscriber,Feb,1271
Subscriber,Feb,1219
Subscriber,Feb,898
Customer,Feb,884
Subscriber,Feb,328
Subscriber,Feb,676
Customer,Feb,309
Subscriber,Feb,604
Subscriber,Feb,325
Subscriber,Feb,461
Subscriber,Feb,423
Subscriber,Feb,766
Subscriber,Feb,411
Subscriber,Feb,571
Subscriber,Feb,305
Subscriber,Feb,390
Subscriber,Feb,721
Subscriber,Feb,1010
Subscriber,Feb,558
Subscriber,Feb,349
Customer,Feb,5317
Subscriber,Feb,280
Subscriber,Feb,124
Subscriber,Feb,1350
Subscriber,Feb,1208
Customer,Feb,1257
Subscriber,Feb,1306
Subscriber,Feb,289
Customer,Feb,2428
Subscriber,Feb,519
Customer,Feb,124
Subscriber,Feb,237
Customer,Feb,770
Subscriber,Feb,594
Customer,Feb,548
Customer,Feb,108
Subscriber,Feb,378
Customer,Feb,87
Customer,Feb,86
Customer,Feb,259
Subscriber,Feb,743
